Experiment,child__hashed_id,child__age_rounded,child__gender
Expt1_Cohort1,UX6XX6,1800,m
Expt1_Cohort1,ZFEcFW,1530,f
Expt1_Cohort1,FMNR4U,1680,f
Expt1_Cohort1,QWFWAQ,2520,f
Expt1_Cohort1,PHM3KT,2130,f
Expt1_Cohort1,TMBc4N,1800,m
Expt1_Cohort1,NRHSFK,2010,m
Expt1_Cohort1,BK45G2,1740,m
Expt1_Cohort1,ADUJcY,2220,m
Expt1_Cohort1,YdTJH7,1980,f
Expt1_Cohort1,TKA647,1500,m
Expt1_Cohort1,JLCN7S,2010,f
Expt1_Cohort1,3R2CUC,2130,f
Expt1_Cohort1,LcYFQM,2010,f
Expt1_Cohort1,BUR2PY,1530,m
Expt1_Cohort1,EV5Z3R,2070,m
Expt1_Cohort1,63dRcX,1860,m
Expt1_Cohort1,WKCNHd,1920,m
Expt1_Cohort1,REMYW7,1560,f
Expt1_Cohort1,CVLEAG,1770,f
Expt1_Cohort1,W7Y6C5,1980,m
Expt1_Cohort1,KEEN74,2040,m
Expt1_Cohort1,ACXXZ7,1740,m
Expt1_Cohort1,VLB4L4,2070,f
Expt1_Cohort1,EQXFYM,1860,m
Expt1_Cohort1,Z7CAJd,2220,f
Expt1_Cohort1,7P6WGH,2160,f
Expt1_Cohort1,GC34M3,1680,f
Expt1_Cohort1,5QcHDS,1590,f
Expt1_Cohort1,4ST2Rd,1710,m
Expt1_Cohort1,QLJ6L2,1560,f
Expt1_Cohort1,VL6G4F,1680,m
Expt1_Cohort1,CQNccL,1830,f
Expt1_Cohort1,GENZTP,1980,m
Expt1_Cohort1,VARPcD,1740,f
Expt1_Cohort1,A2VYCT,1950,f
Expt1_Cohort1,cFUURR,2340,f
Expt1_Cohort1,NESJTV,2070,m
Expt1_Cohort1,cFc63B,1620,na
Expt1_Cohort1,PKKXND,2070,m
Expt1_Cohort1,5A3dF5,2370,f
Expt1_Cohort1,QEENND,2250,m
Expt1_Cohort1,ER3NYC,1620,m
Expt1_Cohort1,RL5c27,1860,o
Expt1_Cohort1,6FBUKN,1800,f
Expt1_Cohort2,NdcEQS,2340,f
Expt1_Cohort2,ZFCGPB,2550,f
Expt1_Cohort2,HZD5P2,2460,m
